GeneSymbol	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3
CCND3	1998	1165	1263	1205	643	1490	1301	1009
CCNDBP1	1268	756	1042	962	532	875	742	596
CCNE1	1420	840	923	945	500	1067	891	758
CCNE2	971	551	862	789	567	965	793	593
CCNF	3251	1735	1655	1637	878	2102	1732	1423
CCNG1	8104	4914	7313	6527	4429	5254	4623	3402
CCNG2	1899	1122	1650	1589	1064	1557	1416	1053
CCNH	1162	702	1062	1022	599	772	724	517
CCNI	8573	4887	5524	5033	2831	5644	4907	3707
CCNI2	51	45	90	63	46	80	59	59
CCNJ	2481	1343	1821	1656	1048	1841	1565	1145
CCNJL	124	93	160	174	96	124	124	84
CCNK	5013	2755	2816	2692	1498	3013	2679	2006
CCNL1	4206	2249	3087	2787	1788	2027	1842	1366
CCNL2	7970	4832	5291	5108	2911	5686	4935	4039
CCNO	92	66	148	133	65	115	96	70
CCNT1	5102	3047	3918	3368	2283	3824	3427	2446
CCNT2	3931	2374	2709	2375	1645	2892	2613	1926
CCNY	3045	1781	2066	1988	1118	2036	1774	1314
CCNYL1	1434	771	1045	937	589	932	823	564
CCP110	2195	1278	2047	1729	1263	1966	1662	1266
CCPG1	433	279	372	335	232	244	207	181
CCR1	0	1	0	4	0	1	5	1
CCR10	18	16	45	48	18	18	18	15
CCR2	0	0	0	0	0	1	0	0
CCR3	1	1	0	0	0	1	1	0
CCR4	91	50	14	9	6	28	15	14
CCR5	0	0	1	0	0	0	1	0
CCR6	64	27	38	34	17	85	74	56
CCR7	3	4	2	2	0	5	4	3
CCR8	0	0	0	0	0	0	1	1
CCR9	0	0	0	0	0	0	0	1
CCRL1	2	1	1	0	1	1	2	1
CCRL2	0	1	4	1	0	2	1	0
CCRN4L	1027	538	618	617	370	549	449	354
CCS	459	275	396	404	226	338	315	226
CCT2	17970	10260	11574	10320	6309	12597	10729	8390
CCT3	31122	17867	16850	15746	8820	19158	16609	12789
CCT4	21893	12687	15275	13910	8483	14197	11890	9478
CCT5	22655	13163	14510	13272	8248	16290	13945	10526
CCT6A	14416	8395	8699	7737	5096	9378	7996	5994
CCT6B	135	75	171	162	111	75	69	50
CCT6P1	619	364	436	418	275	365	280	235
CCT6P3	232	129	158	141	110	109	84	65
CCT7	21510	12228	13535	12479	6793	14662	12402	9442
CCT8	8439	4825	5845	5435	3237	5726	4792	3775
CCT8L2	0	0	1	0	0	1	0	0
CCZ1	691	362	479	431	322	484	434	320
CCZ1B	319	201	232	248	151	238	229	172
CD101	69	41	51	41	30	42	33	35
CD109	1247	864	1346	1119	730	1073	945	740
CD14	25	9	22	29	16	17	15	9
CD151	2859	1762	1978	1851	906	1775	1355	1164
CD160	1	4	0	4	0	1	3	1
CD163	0	0	0	0	0	0	0	0
CD163L1	6	5	6	1	1	7	4	4
CD164	11288	6604	8033	6832	4617	8056	6646	4834
CD164L2	0	1	0	0	0	0	1	0
CD177	0	0	0	0	0	0	0	0
CD180	0	0	0	0	0	1	0	0
CD19	21	9	34	16	12	28	18	19
CD1A	0	0	0	0	0	0	0	0
CD1B	0	0	0	0	0	0	0	0
CD1C	0	1	0	0	0	0	0	0
CD1D	59	39	75	53	39	34	36	29
CD1E	0	0	0	0	0	1	0	0
CD2	1	0	0	0	0	0	0	0
CD200	7	4	15	19	6	21	15	6
CD200R1	35	24	19	12	14	18	6	18
CD200R1L	0	0	0	0	0	0	0	0
CD207	37	25	36	33	25	35	36	12
CD209	1	0	1	0	0	0	0	0
CD22	5	1	6	3	2	8	7	3
CD226	10	7	3	1	1	4	1	4
CD24	572	464	1500	1389	926	801	684	578
CD244	0	1	0	0	0	0	0	0
CD247	2	2	10	8	3	6	4	4
CD248	0	0	1	2	0	0	0	0
CD27	0	0	0	0	0	1	0	0
CD274	27	14	31	23	23	34	20	14
CD276	5027	2976	3027	2974	1501	2780	2259	1943
CD28	1	0	0	0	0	0	1	1
CD2AP	5765	3516	4167	3609	2716	3699	3222	2296
CD2BP2	3975	2196	2573	2381	1323	2839	2315	1876
CD300A	2	2	0	0	1	0	0	1
CD300C	2	0	0	0	0	1	0	0
CD300E	0	0	0	0	1	0	0	0
CD300LB	7	0	1	0	0	0	1	0
CD300LD	0	1	0	0	0	0	0	0
CD300LF	0	0	0	0	0	0	0	0
CD300LG	1	0	3	1	3	1	0	0
CD302	17	12	16	15	6	5	11	5
CD320	2606	1560	1158	1198	555	1465	1180	916
CD33	8	4	5	3	1	6	9	1
CD34	4	2	9	13	1	6	4	8
CD36	13	3	23	18	6	12	11	10
CD37	0	1	1	1	1	2	0	0
CD38	1	2	0	1	2	2	0	0
CD3D	0	0	0	1	0	0	1	0
CD3E	2	0	0	0	0	1	0	0
CD3EAP	2135	1159	1038	914	489	1557	1165	974
CD3G	0	0	0	0	0	1	0	0
CD4	1	2	3	6	1	1	3	1
CD40	0	3	1	0	0	0	1	1
CD40LG	0	0	0	0	0	0	0	0
CD44	211	143	284	207	160	128	102	86
CD46	4254	2743	3588	3097	2104	2672	2209	1672
CD47	2710	1759	2255	2010	1318	1964	1685	1207
CD48	0	1	1	2	2	0	1	0
CD5	1	0	0	0	0	0	0	0
CD52	11	10	7	10	4	8	10	5
CD53	0	0	0	0	0	3	0	0
CD55	1714	1117	1435	1275	887	1055	912	645
CD58	342	255	299	303	178	227	226	160
CD59	3902	2278	3389	3000	1797	2865	2402	1890
CD5L	0	0	0	0	0	0	1	0
CD6	1	1	5	3	2	1	3	5
CD63	4792	2785	2906	2655	1480	2646	2151	1760
CD68	152	99	119	103	60	67	63	55
CD69	2	2	0	0	1	0	0	0
CD7	0	0	3	2	1	1	2	1
CD70	42	27	65	70	41	35	30	26
CD72	19	3	21	20	10	14	7	9
CD74	10	6	15	14	6	16	22	14
CD79A	16	8	10	14	4	6	5	6
CD79B	3	1	3	4	5	0	2	4
CD80	2	3	9	10	2	6	7	1
CD81	7163	4115	4359	4401	2181	4388	3723	2984
CD82	104	62	100	92	43	88	79	70
CD83	509	321	425	422	238	403	305	269
CD84	0	0	0	0	0	0	0	0
CD86	4	2	2	1	2	0	2	0
CD8A	17	13	36	26	17	17	26	14
CD8B	0	0	0	0	0	0	0	0
CD9	1212	828	1269	1133	644	1075	937	736
CD93	0	0	2	0	0	0	1	1
CD96	1	1	5	0	2	3	2	2
CD97	800	556	788	758	425	635	497	437
CD99	0	0	0	0	0	0	0	0
CD99L2	1788	1045	1370	1215	672	1228	1069	832
CD99P1	0	0	0	0	0	0	0	0
CDA	22	18	61	61	22	33	31	31
CDADC1	588	346	372	354	212	415	375	284
CDAN1	975	572	631	621	325	500	468	386
CDC123	4849	2796	3332	2992	1872	3564	3017	2283
CDC14A	550	347	603	528	289	373	353	272
CDC14B	1719	1061	1335	1194	722	1331	1132	866
CDC14C	133	87	115	97	69	131	109	70
CDC16	2326	1413	1547	1464	817	1621	1405	1062
CDC20	5647	3102	3049	3028	1517	3342	2870	2295
CDC20B	9	3	10	6	3	11	8	4
CDC23	6554	3825	4415	4135	2539	4147	3586	2767
CDC25A	6838	3624	4811	4412	2624	5328	4481	3492
CDC25B	2739	1621	1859	1844	922	2852	2352	1864
CDC25C	1677	880	1219	1133	669	1151	989	747
CDC26	92	52	40	47	23	47	34	33
CDC27	7625	4698	5825	5290	3424	5895	5271	3821
CDC34	2929	1568	1854	1873	948	1803	1586	1159
CDC37	5892	3374	3899	3764	1816	4483	3682	2882
CDC37L1	529	280	294	301	183	238	252	186
CDC40	2631	1450	1627	1523	990	1496	1284	966
CDC42	12139	6731	7203	6350	3772	8071	6909	5145
CDC42BPA	3805	2275	3179	2671	1653	2597	2379	1824
CDC42BPB	6203	3602	3761	3477	1862	4068	3717	2931
CDC42BPG	245	176	221	247	106	238	233	188
CDC42EP1	2075	1283	1937	1928	893	1617	1332	1128
CDC42EP2	582	299	271	243	144	335	299	224
CDC42EP3	991	557	1285	1143	727	806	687	483
CDC42EP4	1867	1097	1298	1343	671	1263	1067	806
CDC42EP5	16	8	31	18	7	11	10	9
CDC42SE1	4599	2593	3307	2978	1771	3275	2651	2140
CDC42SE2	2249	1188	1408	1388	822	1392	1203	924
CDC45	2812	1729	2255	2306	1167	2068	1837	1431
CDC5L	9031	5253	6336	5662	3722	6490	5668	4070
CDC6	6279	3717	4674	4192	2411	4779	4164	3088
CDC7	6628	4118	4905	4447	2986	5028	4456	3212
CDC73	2354	1385	2152	1909	1255	2045	1771	1240
CDCA2	1753	941	921	887	536	1146	894	736
CDCA3	1459	869	1096	979	505	1194	1043	828
CDCA4	1776	1021	1430	1359	784	1321	1092	831
CDCA5	4437	2505	2505	2360	1369	3270	2766	2110
CDCA7	3871	2370	3313	3296	1901	2767	2330	1854
CDCA7L	2352	1492	2139	2138	1157	1835	1645	1231
CDCA8	4273	2375	2645	2608	1399	2882	2380	1927
CDCP1	7	7	31	16	11	29	20	10
CDCP2	2	1	1	3	2	1	1	1
CDH1	208	151	476	368	209	274	221	190
CDH10	32	20	29	26	11	17	15	11
CDH11	14	6	14	13	9	10	6	8
CDH12	8	9	6	11	9	19	15	13
CDH13	4	2	4	1	0	1	2	2
CDH15	11	5	3	13	6	9	3	7
CDH16	0	0	0	0	0	0	0	0
CDH17	0	0	1	1	0	0	2	0
CDH18	9	7	11	6	8	5	1	6
CDH19	1	0	0	1	0	0	0	1
CDH2	6403	3951	3628	3028	2066	3917	3063	2339
CDH20	16	7	26	26	9	7	9	10
CDH22	5	4	4	4	1	1	1	2
CDH23	62	32	109	107	47	32	25	30
CDH24	823	491	447	475	220	487	363	322
CDH26	79	45	41	34	22	40	34	28
CDH3	77	73	179	152	81	74	78	67
CDH4	247	151	197	137	86	126	95	65
CDH5	1	1	3	1	0	5	2	1
CDH6	2	0	1	1	0	0	0	0
CDH7	113	63	100	70	43	92	76	46
CDH8	29	19	18	25	4	20	19	11
CDH9	1	0	0	0	1	0	0	0
CDHR1	557	430	673	591	341	403	310	252
CDHR2	3	3	0	7	3	1	2	2
CDHR3	55	24	41	27	17	30	28	15
CDHR4	5	1	2	1	0	2	2	0
CDHR5	0	0	0	0	0	1	0	0
CDIPT	2464	1502	1800	1735	815	1814	1460	1157
CDK1	6837	3968	5590	5037	3545	5073	4399	3267
CDK10	773	464	577	678	309	559	493	421
CDK11A	538	237	317	286	105	269	213	190
CDK11B	1106	634	731	671	325	713	564	456
CDK12	10044	5786	6295	5233	3222	6079	5266	4064
CDK13	2309	1445	2123	1939	1172	1825	1622	1214
CDK14	1006	573	989	898	553	849	742	522
CDK15	2	3	7	11	12	8	7	9
CDK16	15772	9834	16272	16458	8161	11042	9160	7764
CDK17	1345	755	1503	1295	961	1257	1074	798
CDK18	372	255	526	582	272	308	277	221
CDK19	1381	848	1002	844	518	1197	1039	807
CDK2	4712	2791	3163	2960	1758	2878	2368	1872
CDK20	268	164	276	234	145	241	200	177
CDK2AP1	3492	1966	1732	1588	869	1850	1500	1082
CDK2AP2	859	544	533	509	258	633	476	421
CDK3	0	0	0	0	0	0	0	0
CDK4	7046	4163	4348	4254	2184	4738	4043	3131
CDK5	834	511	541	585	249	778	648	529
CDK5R1	1009	595	697	655	371	779	649	506
CDK5R2	62	35	70	68	28	36	34	25
CDK5RAP1	1947	1092	1216	1180	635	1260	1082	789
CDK5RAP2	5147	3051	3462	3049	1915	3080	2757	2202
CDK5RAP3	2058	1462	1676	1701	905	1741	1560	1325
CDK6	5447	3369	4294	3666	2464	3512	3110	2285
CDK7	365	236	277	245	173	268	222	164
CDK8	848	518	743	693	412	614	496	371
CDK9	1407	926	1339	1443	703	1059	857	723
CDKAL1	1188	634	901	870	466	908	828	592
CDKL1	103	61	110	112	72	69	64	48
CDKL2	219	124	250	254	158	256	240	198
CDKL3	200	116	210	159	109	160	145	107
CDKL4	4	5	0	2	1	4	3	2
CDKL5	264	142	291	222	168	172	160	122
CDKN1A	6359	3433	3627	3650	1852	1886	1668	1317
CDKN1B	3716	2025	1741	1611	1098	1909	1618	1179
CDKN1C	162	102	178	182	99	102	98	93
CDKN2A	2932	1671	1729	1725	840	1759	1425	1151
CDKN2AIP	1278	785	1242	1102	738	927	737	561
CDKN2AIPNL	2256	1202	1499	1362	783	1488	1226	891
CDKN2B	1748	818	1016	878	550	751	596	459
CDKN2B-AS1	193	111	141	98	72	140	89	80
CDKN2C	2870	1636	1803	1735	1013	1890	1539	1188
CDKN2D	285	156	374	396	223	334	308	235
CDKN3	1068	637	978	873	483	801	674	527
CDNF	104	63	92	79	33	61	53	41
CDO1	692	383	653	560	302	481	396	291
CDON	1712	1081	1434	1280	713	1284	1172	869
CDR1	0	0	0	0	0	0	0	0
CDR2	1417	900	1275	1113	665	1098	933	672
CDR2L	1206	691	1118	1070	536	1089	843	660
CDRT1	19	16	7	8	6	10	6	3
CDRT15	0	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	0
CDRT15P1	0	0	1	0	0	0	0	0
CDRT15P2	0	0	0	0	0	1	0	0
CDRT4	1	0	0	0	0	0	0	0
CDRT7	0	0	0	0	0	0	0	0
CDS1	1456	869	1016	973	624	969	903	674
CDS2	2667	1627	2040	1931	1080	1701	1506	1118
CDSN	0	0	0	2	0	4	2	2
CDT1	3728	2069	2728	2804	1298	2315	2012	1553
CDV3	15041	8707	8948	8365	5171	8641	7342	5630
CDX1	0	0	1	0	0	0	1	0
CDX2	1193	687	673	649	322	838	621	483
CDX4	1	0	0	0	0	0	0	0
CDY1	0	0	0	0	0	0	0	0
CDY1B	0	0	0	0	0	0	0	0
CDY2A	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0
CDYL	2123	1303	1752	1644	960	1555	1360	1094
CDYL2	82	55	147	150	81	85	88	50
CEACAM1	7	4	8	4	3	3	6	1
CEACAM16	0	0	0	0	0	0	0	0
CEACAM18	0	0	0	0	0	0	0	0
CEACAM19	121	109	138	106	54	85	74	76
CEACAM20	28	12	3	3	1	4	3	4
CEACAM21	3	2	1	1	0	3	1	1
CEACAM22P	80	32	22	17	6	22	15	11
CEACAM3	0	0	0	0	0	0	0	0
CEACAM4	0	0	0	0	0	0	0	0
CEACAM5	5	4	1	0	0	1	2	0
CEACAM6	0	0	1	0	0	0	3	0
CEACAM7	1	0	0	0	0	1	1	1
CEACAM8	1	0	0	0	0	0	0	0
CEBPA	690	406	650	636	287	573	453	417
CEBPB	1034	598	896	940	455	733	652	496
CEBPD	127	103	117	115	66	85	68	46
CEBPE	0	1	0	0	0	1	0	1
CEBPG	4621	2872	4513	4321	2698	3035	2627	2027
CEBPZ	5363	3064	3543	3212	2031	3227	2850	2120
CECR1	2	0	1	4	1	2	1	0
CECR2	1399	844	1215	1032	622	879	841	635
CECR3	0	0	0	1	0	0	0	1
CECR5	2393	1491	1742	1629	845	1944	1502	1228
CECR5-AS1	10	8	9	21	6	10	9	6
CECR6	176	103	128	130	74	92	73	50
CECR7	2	4	1	4	3	7	1	3
CEL	158	90	55	65	42	57	53	41
CELA1	0	0	0	0	0	0	0	0
CELA2A	2	1	0	2	0	3	3	1
CELA2B	0	0	1	0	0	1	2	0
CELA3A	0	0	0	0	2	2	0	0
CELA3B	0	1	0	0	1	0	0	0
CELF1	8509	4966	7111	6471	3735	7380	6384	4837
CELF2	4562	2766	2721	2407	1528	3636	3132	2267
CELF3	23	10	43	43	23	16	10	8
CELF4	84	42	182	144	79	102	72	65
CELF5	139	79	158	151	86	127	106	89
CELF6	20	11	16	20	15	9	10	8
CELP	1	0	0	1	0	0	0	0
CELSR1	1748	1077	1371	1212	659	962	846	679
CELSR2	2336	1543	1922	1767	926	1404	1106	981
CELSR3	816	447	419	363	158	351	294	257
CEMP1	1	2	0	0	1	0	0	0
CEND1	5	1	3	1	1	3	8	10
CENPA	1053	653	809	781	545	841	733	562
CENPB	2566	1546	1715	1591	776	1966	1553	1293
CENPBD1	864	500	508	479	258	580	453	405
CENPC1	670	411	551	532	378	456	398	273
CENPE	5291	3289	3632	3047	2286	3035	2810	2064
CENPF	11064	7109	9286	7543	5324	7756	7293	5446
CENPH	2689	1597	2392	2307	1418	2456	2140	1599
CENPI	1894	1037	1027	901	628	1317	1126	874
CENPJ	1513	1032	1381	1193	852	1233	1063	871
CENPK	1450	912	1301	1158	756	1040	909	628
CENPL	1183	643	799	658	431	687	574	445
CENPM	745	468	560	544	264	705	532	423
CENPN	2492	1294	1527	1382	796	1789	1522	1064
CENPO	2345	1360	1665	1500	872	1623	1382	1165
CENPP	567	358	466	432	265	427	353	247
CENPQ	1412	804	1213	1034	698	732	647	488
CENPT	1055	692	769	825	410	813	752	611
CENPV	3091	1855	2039	2023	1037	2277	1909	1557
CENPVL1	0	0	0	0	0	0	0	0
CENPW	1149	696	1033	963	658	800	661	540
CEP104	3229	1908	1937	1845	1022	2235	2003	1566
CEP112	465	316	481	451	334	429	361	288
CEP120	2097	1189	1585	1456	939	1350	1263	945
CEP128	1052	566	633	594	391	610	507	369
CEP135	2459	1580	1848	1644	1083	2030	1799	1376
CEP152	1359	769	1000	839	613	830	684	510
CEP164	1946	1154	1134	1126	584	1142	1022	873
CEP170	3178	1957	2965	2687	1881	2386	2214	1674
CEP170P1	3	1	0	0	2	2	0	0
CEP19	391	224	315	316	168	332	332	201
CEP192	1869	1150	1233	1075	750	1272	1147	875
CEP250	2864	1671	2027	1832	1132	1821	1705	1339
CEP290	2993	1918	2281	2024	1519	2101	1920	1383
CEP350	3753	2279	2602	2165	1513	2228	2037	1504
CEP41	1098	667	886	696	435	892	804	593
CEP44	1365	804	1472	1333	891	934	857	599
CEP55	2800	1659	2198	1938	1344	2163	1966	1391
CEP57	3419	1983	2191	1961	1317	2296	2067	1528
CEP57L1	919	575	815	727	562	637	550	390
CEP63	1397	814	1037	975	594	891	752	537
CEP68	1574	966	1064	961	582	1025	873	649
CEP70	958	610	1087	928	660	812	761	528
CEP72	1022	619	843	756	407	780	634	524
CEP76	739	398	437	368	257	432	374	282
CEP78	1413	867	1054	1038	722	1149	976	791
CEP85	3903	2369	2797	2694	1558	3046	2644	2108
CEP85L	1141	692	951	850	636	767	817	588
CEP89	380	226	281	267	146	252	207	184
CEP95	3302	2100	2258	1967	1277	1892	1773	1335
CEP97	1630	981	1376	1159	816	1132	1028	737
CEPT1	2152	1299	1484	1337	873	1183	994	815
CER1	0	0	1	0	0	0	0	1
CERCAM	1257	850	871	841	403	790	706	533
CERK	4125	2378	2008	1902	1010	2733	2409	1867
CERKL	18	10	29	26	18	19	22	8
CERS1	255	125	168	189	109	208	175	121
CERS2	8091	4787	5004	4716	2637	5917	4865	3860
CERS3	3	1	3	1	3	3	4	1
CERS4	417	272	342	368	182	266	220	204
CERS5	976	585	732	705	408	716	616	464
CERS6	5263	3220	3745	3342	2092	4517	3964	2891
CES1	0	0	0	0	0	0	0	0
CES1P1	0	0	0	0	0	0	0	0
CES1P2	0	0	0	0	0	0	0	0
CES2	2153	1140	1129	1122	518	1323	1077	891
CES3	710	452	521	509	253	592	516	428
CES4A	1	2	2	2	0	0	0	1
CES5A	1	0	0	1	0	0	0	0
CES5AP1	0	0	2	2	0	0	2	0
CETN1	0	0	0	0	0	0	0	0
CETN2	1362	870	801	775	444	1118	1049	726
CETN3	1203	833	1395	1226	836	1039	910	687
CETN4P	69	34	53	47	35	48	22	28
CETP	2	2	0	0	0	3	0	0
CFB	11	1	8	10	4	2	6	3
CFC1	0	0	0	0	0	0	0	0
CFC1B	0	0	0	0	0	0	0	0
CFD	163	90	142	162	63	163	118	95
CFDP1	1837	1187	1892	1671	997	1504	1290	945
CFH	7	0	10	14	5	6	11	8
CFHR1	5	3	6	8	5	7	10	3
CFHR2	0	0	0	0	0	0	0	0
CFHR3	27	14	29	20	15	11	10	7
CFHR4	5	2	1	2	4	5	4	1
CFHR5	1	0	0	1	0	0	0	1
CFI	5	8	18	11	9	22	16	18
CFL1	15132	8603	10619	10611	4626	13249	10755	8713
CFL1P1	35	20	30	37	18	39	22	22
CFL2	5784	3297	3802	3387	2176	3712	3472	2341
CFLAR	1108	703	1043	892	567	820	741	590
CFLAR-AS1	2	2	0	1	0	0	0	0
CFP	34	22	13	13	4	15	13	13
CFTR	2	4	2	0	1	2	2	3
CG030	51	34	68	68	37	37	37	22
CGA	235	166	89	91	45	121	107	55
CGB	0	0	0	0	0	0	0	0
CGB1	0	0	2	2	1	4	2	0
CGB2	0	0	0	0	0	0	0	0
CGB5	2	1	2	2	0	0	2	0
CGB7	4	4	9	4	0	3	3	3
CGB8	0	0	0	0	0	1	1	0
CGGBP1	10999	6391	8136	7423	4998	7260	6419	4602
CGN	1082	735	986	942	522	772	653	568
CGNL1	460	308	580	489	289	397	339	276
CGREF1	21	10	4	8	4	6	4	4
CGRRF1	659	395	562	486	269	469	373	299
CH25H	2	1	1	0	1	3	0	1
CHAC1	289	182	576	614	278	259	239	212
CHAC2	977	560	678	626	412	538	406	311
CHAD	0	0	1	0	0	0	0	0
CHADL	5	1	2	1	0	1	3	1
CHAF1A	6140	3483	3691	3386	1875	3942	3257	2766
CHAF1B	1841	1160	1333	1305	732	1779	1553	1132
CHAMP1	2777	1563	1354	1230	741	1760	1550	1128
CHAT	0	1	0	0	0	0	0	0
CHCHD1	1573	935	1010	964	559	1007	806	663
CHCHD10	1778	1119	1558	1597	771	1416	1191	922
CHCHD2	5665	3295	4535	4230	2033	4032	3436	2834
CHCHD3	2157	1292	1782	1613	897	1716	1436	1153
CHCHD4	1298	794	1035	893	498	1025	849	626
CHCHD5	415	244	349	295	147	349	269	210
CHCHD6	604	394	545	520	251	500	391	347
CHCHD7	1042	593	787	721	465	735	645	437
CHCHD8	2071	1280	1433	1391	723	1593	1235	1080
CHD1	8384	4976	5717	5019	3629	5090	4580	3292
CHD1L	4409	2654	3105	3087	1672	2963	2588	2042
CHD2	11996	6462	7450	6020	3823	5635	5108	3952
CHD3	8851	5030	4727	4183	2430	4462	3789	3016
CHD4	16473	10033	11973	10851	5930	12657	11030	8915
CHD5	163	108	100	100	41	79	77	70
CHD6	3421	2180	3198	2664	1609	2160	1947	1594
CHD7	3669	2074	2431	2015	1233	1777	1694	1264
CHD8	8703	4876	5622	4886	3070	5238	4704	3524
CHD9	2163	1422	2327	1887	1361	1546	1448	1048
CHDH	542	371	504	483	231	453	383	316
CHEK1	3911	2264	2950	2718	1745	2731	2231	1725
CHEK2	1369	874	1107	1028	613	1086	992	755
CHEK2P2	0	0	0	0	0	1	1	0
CHERP	5697	3240	3152	3282	1557	3751	3199	2513
CHFR	1016	601	857	823	473	692	536	439
CHGA	50	21	18	28	20	15	9	10
CHGB	172	113	123	109	60	63	43	42
CHI3L1	0	0	1	0	0	0	0	0
CHI3L2	3	0	1	1	1	1	2	1
CHIA	0	0	0	0	0	0	0	0
CHIC1	975	596	714	650	447	579	552	402
CHIC2	570	311	504	425	232	369	290	247
CHID1	2101	1167	1286	1231	624	1297	1048	804
CHIT1	0	0	0	0	0	0	0	0
CHKA	1252	685	734	711	419	797	623	497
CHKB	50	30	48	43	18	47	49	42
CHKB-CPT1B	0	3	1	0	0	2	0	0
CHL1	0	1	0	0	0	1	1	0
CHM	2576	1539	1263	1114	712	1602	1326	1047
CHML	7350	4345	5252	4583	3357	5355	4835	3428
CHMP1A	2057	1162	1315	1206	609	1691	1323	1125
CHMP1B	2494	1463	1828	1789	1068	1615	1354	1001
CHMP2A	2078	1294	2017	1693	986	1730	1433	1177
CHMP2B	4770	2983	3449	2986	2059	3436	3026	2094
CHMP3	95	71	60	60	39	79	75	36
CHMP4A	1175	671	622	541	342	745	617	439
CHMP4B	3214	1847	1926	1854	989	2280	1908	1509
CHMP4C	175	96	200	159	98	146	125	89
CHMP5	1359	793	1041	912	727	999	876	643
CHMP6	956	603	621	575	300	838	708	515
CHMP7	1946	1148	1351	1199	687	1399	1181	850
CHN1	1756	1013	1345	1299	763	1492	1252	1018
CHN2	395	185	329	305	201	312	290	206
CHODL	72	46	68	67	50	68	49	45
CHODL-AS1	0	0	0	0	0	0	0	0
CHORDC1	2869	1620	1648	1442	1146	1787	1471	1027
CHP	2837	1549	1561	1461	835	2096	1694	1315
CHP2	10	5	41	27	22	14	19	11
CHPF	1417	913	1020	973	480	849	672	574
CHPF2	3133	1858	1496	1381	726	1781	1452	1148
CHPT1	2641	1552	1723	1728	1066	1906	1596	1189
CHRAC1	2349	1351	1667	1471	834	1859	1509	1148
CHRD	104	79	204	206	108	104	83	78
CHRDL1	268	181	161	181	96	145	130	89
CHRDL2	3	1	6	0	0	1	1	1
CHRFAM7A	80	43	114	79	44	74	55	51
CHRM1	0	0	0	0	0	1	1	0
CHRM2	0	0	0	0	0	0	0	0
CHRM3	58	38	81	55	38	54	59	47
CHRM4	12	5	22	20	10	8	6	6
CHRM5	1	2	3	3	2	4	0	0
CHRNA1	0	0	4	0	0	0	0	0
CHRNA10	74	42	17	12	4	40	32	26
CHRNA2	0	1	0	0	0	0	0	0
CHRNA3	120	82	123	142	65	91	90	62
CHRNA4	20	22	39	55	12	23	11	17
CHRNA5	1470	894	1193	1123	763	1048	926	741
CHRNA6	2	0	2	4	2	3	4	2
CHRNA7	73	47	53	37	33	53	34	45
CHRNA9	9	3	27	28	15	10	8	9
CHRNB1	450	284	446	462	234	396	383	282
CHRNB2	17	7	11	7	3	14	7	10
CHRNB3	1	0	0	0	0	0	0	0
CHRNB4	10	15	17	33	9	19	11	10
CHRND	1	1	0	0	0	2	0	1
CHRNE	6	4	11	11	6	5	5	7
CHRNG	1	0	0	1	0	0	0	0
CHST1	15	21	66	59	22	25	18	24
CHST10	1548	970	927	894	488	1106	950	676
CHST11	930	579	801	717	456	533	415	368
CHST12	717	399	457	433	242	488	365	301
CHST13	30	28	26	27	14	13	14	13
CHST14	865	529	561	567	264	568	488	373
CHST15	1114	644	875	882	486	786	680	530
CHST2	291	169	235	237	150	233	209	165
CHST3	850	595	770	760	424	644	578	418
CHST4	36	34	32	33	12	13	16	12
CHST5	8	5	5	11	6	8	8	6
CHST6	221	156	340	316	177	194	173	136
CHST7	124	50	137	127	71	85	61	46
CHST8	163	105	129	150	77	132	122	95
CHST9	82	43	132	114	80	91	68	64
CHST9-AS1	0	0	0	0	0	0	0	0
CHSY1	3246	1887	2329	2057	1234	2293	1969	1411
CHSY3	225	143	213	200	119	136	120	88
CHTF18	1090	785	738	817	404	683	571	444
CHTF8	4313	2505	2461	2351	1202	2494	2212	1683
CHTOP	8118	4677	4672	4428	2342	4772	3868	3219
CHUK	3479	1983	2404	2122	1303	1727	1508	1114
CHURC1	1195	723	664	650	369	746	650	465
CHURC1-FNTB	7	1	5	3	7	2	0	3
CIAO1	7517	4487	5147	4808	2775	5634	4740	3560
CIAPIN1	1357	772	841	788	425	881	764	557
CIB1	1248	708	1015	975	465	882	668	611
CIB2	933	512	682	706	350	765	648	491
CIB3	4	1	3	4	0	0	0	0
CIB4	0	0	0	0	0	0	0	0
CIC	3974	2329	2316	2286	1161	2829	2466	1835
CIDEA	0	0	0	0	1	0	0	0
CIDEB	1	0	0	3	0	0	1	2
CIDEC	0	0	2	2	0	1	1	3
CIDECP	579	306	421	381	185	316	241	237
CIITA	0	0	0	0	0	1	0	0
CILP	12	9	8	3	9	8	2	4
CILP2	218	127	178	169	93	121	104	86
CINP	1011	554	678	564	371	651	609	442
CIR1	1263	704	1014	851	558	725	610	490
CIRBP	6774	3975	6278	5966	3257	5192	4460	3637
CIRBP-AS1	70	37	46	56	19	48	40	33
CIRH1A	2828	1473	1689	1606	853	1473	1149	940
CISD1	1245	740	955	964	528	1019	891	670
CISD2	1737	1026	1586	1383	874	1601	1303	980
CISD3	727	428	498	492	235	643	531	440
CISH	103	86	126	111	71	92	98	63
